Source,Target,Type,Id,Label,timeset,Weight,app,ht,lang,join_date
413,24,Directed,1048,,,1,Twitter Web App,rosavientos,es,2011-10-24
413,62,Directed,1049,,,1,Twitter Web App,OVNI,es,2011-10-24
413,67,Directed,1050,,,1,Twitter Web App,UAP,es,2011-10-24
415,2,Directed,1051,,,4,Twitter for Android,None,es,2019-06-21
421,421,Directed,1052,,,1,Twitter for iPhone,None,en,2019-05-14
424,76,Directed,1053,,,3,Twitter for Android,DDMTeCuenta,es,2018-11-23
425,4,Directed,1054,,,1,Twitter for Android,None,es,2010-09-08
425,85,Directed,1055,,,1,Twitter for Android,None,es,2010-09-08
425,375,Directed,1056,,,1,Twitter for Android,ovni,es,2010-09-08
426,4,Directed,1057,,,1,Twitter for Android,None,es,2020-10-21
426,6,Directed,1058,,,1,Twitter for Android,Algo,es,2020-10-21
426,145,Directed,1059,,,1,Twitter for Android,None,es,2020-10-21
431,9,Directed,1060,,,1,Twitter for iPhone,OVNI,fr,2018-08-16
431,17,Directed,1061,,,1,Twitter for iPhone,None,fr,2018-08-16
431,322,Directed,1062,,,1,Twitter for iPhone,None,fr,2018-08-16
432,32,Directed,1063,,,3,Twitter Web App,None,fr,2014-01-01
434,5,Directed,1064,,,2,Twitter for Android,extraterrestre,es,2016-08-22
434,3053,Directed,1065,,,1,Twitter for Android,Japón,es,2016-08-22
438,27,Directed,1066,,,2,Twitter for iPhone,DeFacto,pt,2020-05-30
438,213,Directed,1067,,,1,Twitter for iPhone,DeFacto,pt,2020-05-30
440,59,Directed,1068,,,3,Twitter for Android,None,es,2014-07-07
441,6,Directed,1069,,,1,Twitter for Android,Algo,es,2020-04-08
441,62,Directed,1070,,,1,Twitter for Android,OVNI,es,2020-04-08
441,148,Directed,1071,,,1,Twitter for Android,None,es,2020-04-08
445,40,Directed,1072,,,1,Twitter for Android,None,es,2014-06-18
445,577,Directed,1073,,,1,Twitter for Android,None,es,2014-06-18
445,4356,Directed,1074,,,1,Twitter for Android,None,es,2014-06-18
448,65,Directed,1075,,,3,Twitter for Android,None,es,2021-03-22
449,338,Directed,1076,,,1,Twitter for Android,cagamos,es,2010-04-20
449,528,Directed,1077,,,1,Twitter for Android,OVNI,es,2010-04-20
449,941,Directed,1078,,,1,Twitter for Android,None,es,2010-04-20
451,451,Directed,1079,,,1,Twitter Web App,None,fr,2016-12-14
453,24,Directed,1080,,,1,Twitter for Android,rosavientos,es,2011-05-25
453,50,Directed,1081,,,1,Twitter for Android,None,es,2011-05-25
453,80,Directed,1082,,,1,Twitter for Android,None,es,2011-05-25
454,56,Directed,1083,,,1,Twitter for Android,None,es,2012-01-13
454,765,Directed,1084,,,1,Twitter for Android,None,es,2012-01-13
455,65,Directed,1085,,,2,Twitter for Android,None,es,2011-01-31
455,122,Directed,1086,,,1,Twitter for Android,None,es,2011-01-31
456,139,Directed,1087,,,1,Twitter for Android,AsiloArkham,es,2012-03-29
456,215,Directed,1088,,,2,Twitter for Android,BATMAN,es,2012-03-29
462,38,Directed,1089,,,1,Twitter for Android,ovni,es,2011-02-28
462,305,Directed,1090,,,2,Twitter for Android,Marte,es,2011-02-28
464,27,Directed,1091,,,1,Twitter Web App,DeFacto,pt,2016-03-20
464,126,Directed,1092,,,1,Twitter Web App,DeFacto,pt,2016-03-20
464,285,Directed,1093,,,1,Twitter Web App,DeFacto,pt,2016-03-20
465,7,Directed,1094,,,1,Twitter for Android,OVNI,es,2016-02-21
465,24,Directed,1095,,,1,Twitter for Android,rosavientos,es,2016-02-21
465,80,Directed,1096,,,1,Twitter for Android,None,es,2016-02-21
466,6,Directed,1097,,,1,Twitter for Android,Algo,es,2020-03-29
466,24,Directed,1098,,,2,Twitter for Android,rosavientos,es,2020-03-29
467,54,Directed,1099,,,1,Twitter for Android,USA,es,2019-05-27
467,168,Directed,1100,,,1,Twitter for Android,None,es,2019-05-27
467,3895,Directed,1101,,,1,Twitter for Android,None,es,2019-05-27
469,143,Directed,1102,,,2,Twitter for Android,UFO,fr,2021-06-06
469,545,Directed,1103,,,1,Twitter for Android,None,fr,2021-06-06
470,24,Directed,1104,,,2,Twitter Web App,rosavientos,es,2019-05-20
470,201,Directed,1105,,,1,Twitter Web App,None,es,2019-05-20
