Source,Target,Type,Id,Label,timeset,Weight,app,ht,lang,join_date
2059,5,Directed,2416,,,1,Twitter for Android,None,es,2019-05-02
2060,48,Directed,2417,,,1,Twitter Web App,None,ca,2010-03-13
2061,38,Directed,2418,,,1,Twitter for Android,None,es,2019-02-13
2063,2062,Directed,2419,,,1,dlvr.it,PlácidoDomingo,es,2010-06-24
2064,17,Directed,2420,,,1,Twitter Web App,None,es,2015-10-20
2065,5,Directed,2421,,,1,Twitter for Android,None,es,2013-07-12
2066,59,Directed,2422,,,1,Tweetbot for iΟS,None,es,2009-06-27
2067,14,Directed,2423,,,1,Twitter for Android,None,es,2020-08-26
2068,9,Directed,2424,,,1,Twitter Web App,None,es,2017-03-13
2069,2,Directed,2425,,,1,Twitter for Android,None,es,2013-07-28
2070,0,Directed,2426,,,1,Twitter for Android,None,es,2016-12-14
2071,0,Directed,2427,,,1,Twitter for iPhone,None,es,2013-11-27
2072,15,Directed,2428,,,1,Twitter for Android,None,es,2015-08-17
2073,2,Directed,2429,,,1,Twitter for Android,None,es,2013-06-07
2074,11,Directed,2430,,,1,Twitter for Android,None,es,2011-10-26
2076,0,Directed,2431,,,1,Twitter Web App,None,es,2013-12-20
2077,58,Directed,2432,,,1,Twitter for Android,None,es,2009-10-03
2078,6,Directed,2433,,,1,Twitter for Android,None,es,2011-04-15
2079,4,Directed,2434,,,1,Twitter for iPhone,None,es,2011-04-09
2080,1,Directed,2435,,,1,Twitter for Android,None,es,2011-06-19
2081,1,Directed,2436,,,1,Twitter for Android,None,es,2016-07-07
2082,3,Directed,2437,,,1,Twitter for Android,None,es,2014-09-15
2083,13,Directed,2438,,,1,Twitter for iPhone,None,es,2012-10-05
2085,232,Directed,2439,,,1,Twitter for iPhone,None,es,2012-07-21
2086,5,Directed,2440,,,1,Twitter for Android,None,es,2019-10-17
2087,1,Directed,2441,,,1,Twitter for Android,None,es,2013-07-25
2088,15,Directed,2442,,,1,Twitter for iPhone,None,es,2019-01-02
2089,4,Directed,2443,,,1,Twitter for Android,None,es,2013-09-08
2090,0,Directed,2444,,,1,Twitter for Android,None,es,2014-12-26
2091,0,Directed,2445,,,1,Twitter for Android,None,es,2012-02-11
